method = 0 LS
	1 FR
	2 PRP+
	3 HS
	4 DY
	5 CG - Descent

 Pro  Dim flag  iter    nfg     evalf       ||evalg||_inf   method   cpu
 58   5000  0     12     33  4.5194156D-16  8.6240639D-10      5      1  1
 59   5000  1  10000  10006  2.4891607D+63  1.9913286D+60      0    367  1
 59   5000  0     15     39  4.5840414D+02  5.4007902D-07      1      1  1
 59   5000  0     13     45  4.5840414D+02  4.5192633D-10      2      1  1
 59   5000  1  10000  10022            NaN            NaN      3   2352  1
 59   5000  0     20     50  4.5840414D+02  1.5408337D-08      4      0  1
 59   5000  0     13     37  4.5840414D+02  2.6164892D-08      5      2  1
 60   5000  1  10000  10052            NaN            NaN      0    206  1
 60   5000  0      9     22  6.0859280D-11  2.9839006D-07      1      0  1
 60   5000  0     28     94  1.1767064D-12  4.2845138D-08      2      1  1
 60   5000  0      7     25  3.1757579D-10  8.0149122D-07      3      0  1
 60   5000  0     16     36  1.0070662D-10  5.2033961D-07      4      1  1
 60   5000  0      6     17  1.0765325D-12  4.1353246D-08      5      0  1
 61   5000  1  10000  10087            NaN            NaN      0    267  1
 61   5000  0     18     44  7.5331198D-13  3.8599326D-07      1      0  1
 61   5000  0     50    166  3.6435361D-15  1.8514672D-08      2      3  1
 61   5000  0     14     45  4.3229190D-13  3.3506054D-07      3      1  1
 61   5000  0     19     46  3.7552909D-13  2.1921362D-07      4      1  1
 61   5000  0      8     25  4.3798995D-15  3.3896782D-08      5      0  1
 62   5000  1  10000  10262            NaN            NaN      0   2194  1
 62   5000  0   1455   2665  1.6967091D-07  9.1288812D-07      1    105  1
 62   5000  1  10000  10957            NaN            NaN      2   2088  1
 62   5000  1  10000  12012            NaN            NaN      3   1969  1
 62   5000  0   1891   2579  5.3998856D-07  5.1468635D-07      4    107  1
 62   5000  0   2021   4044  4.6608860D-07  8.0143003D-07      5    160  1
 63   5000  1  10000  10004  9.1119563D-01  7.5492154D-01      0    202  1
 63   5000  1  10000  13035  1.0531571D-03  1.5358631D-04      1    239  1
 63   5000  1  10000  14829  1.0188241D-03  8.9439449D-06      2    236  1
 63   5000  1  10000  12818  8.9262610D-04  1.0332511D-05      3    220  1
 63   5000  1  10000  10053  1.0018428D-06  3.8390563D-06      4    205  1
 63   5000  1  10000  13975  4.5420456D-04  6.3675186D-06      5    254  1
 64   5000  1  10000  10075            NaN            NaN      0   1634  1
 64   5000  0     20     48  4.8563091D-10  9.2366402D-07      1      1  1
 64   5000  0     15     48  4.5840414D+02  2.2059336D-07      2      1  1
 64   5000  0     20     76  3.5675019D-16  1.4101866D-09      3      1  1
 64   5000  0     14     36  2.9402008D-11  2.1033725D-07      4      2  1
 64   5000  0     12     53  5.3222436D-20  4.4392554D-11      5      1  1
 65   5000  1  10000  10271            NaN            NaN      0    235  1
 65   5000  0     10     37  7.0233081D-13  4.8606474D-07      1      2  1
 65   5000  0      8     36  1.2561268D-18  1.8234789D-09      2      1  1
 65   5000  0     10     39  4.9149497D-15  9.7735047D-08      3      0  1
 65   5000  0     10     37  1.1406908D-12  8.8313584D-07      4      0  1
 65   5000  0      8     34  1.3836921D-13  5.7944148D-07      5      1  1
